cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n
0,119.605,20,53.0211,44.0211,41.688,37.688,0,"TRACKER_DEGRADED",13.0211,4.0211,4,2,15,10,4,5,"IDLE","none",1.76288,0.043915,0.103714,0,18,"READY",0,"ACQUIRE",1,0,"",0,1,0,-1,0,0,"PASSIVE",0,17.97,"CORRECTION_BURN",1,0.12
1,119.241,20,53.0355,44.0355,41.4041,37.4041,0,"TRACKER_DEGRADED",13.0355,4.03553,4,2,15,10,4,5,"IDLE","none",1.82116,0.101452,0.241314,0,8,"READY",0,"ACQUIRE",1,0,"",0,2,0,-1,0,0,"PASSIVE",0,17.94,"CORRECTION_BURN",1,0.12
2,118.937,20,66.0595,43.0595,41.9081,33.9081,0,"CORRECTING",16.0595,4.05953,4,2,15,6,8,15,"ACTIVE","refine",1.89022,0.264909,0.676426,1,17,"READY",0,"READY",0,1,"dataset_0",1,3,1,128,8,4,"PASSIVE",0,17.91,"CORRECTION_BURN",1,0.12
3,118.72,20,50.0777,37.0777,46.2317,38.2317,0,"TRACKER_DEGRADED",13.0777,4.07767,15,2,1,6,8,5,"THROTTLED","none",1.96502,0.340314,0.389577,0,14,"DOWNLINK",778672,"IDLE",0,0,"dataset_0",1,0,1,256,10,3,"PASSIVE",0,17.88,"IDLE",0,0
4,118.613,20,50.0971,37.0971,46.1372,38.1372,0,"TRACKER_DEGRADED",13.0971,4.09707,15,2,1,6,8,5,"THROTTLED","none",2.04331,0.419052,0.368706,0,11,"DOWNLINK",770672,"IDLE",0,0,"dataset_0",1,0,1,256,10,3,"PASSIVE",0,17.85,"IDLE",0,0
5,118.636,20,53.1219,40.1219,43.8856,35.8856,0,"CORRECTING",16.1219,4.12191,15,2,1,6,8,5,"THROTTLED","none",2.12309,0.562793,0.490862,1,16,"DOWNLINK",762672,"IDLE",0,0,"dataset_0",1,0,1,256,10,3,"PASSIVE",0,17.82,"IDLE",0,0
6,118.801,20,53.1489,40.1489,43.9893,35.9893,0,"CORRECTING",16.1489,4.14894,15,2,1,6,8,5,"THROTTLED","none",2.20157,0.719683,0.62976,1,23,"DOWNLINK",754672,"IDLE",0,0,"dataset_0",1,0,1,256,10,3,"PASSIVE",0,17.79,"IDLE",0,0
7,119.117,20,52.1758,29.1758,52.4559,44.4559,0,"CORRECTING",16.1758,4.17581,4,2,1,6,8,15,"ACTIVE","refine",2.27627,0.849843,0.463658,1,12,"STANDBY",754672,"IDLE",0,0,"dataset_0",1,0,2,256,10,3,"PASSIVE",0,17.76,"IDLE",0,0
8,119.584,20,52.2031,29.2031,52.7859,44.7859,0,"CORRECTING",16.2031,4.20313,4,2,1,6,8,15,"ACTIVE","refine",2.34551,0.971573,0.451668,1,12,"STANDBY",3900640,"IDLE",0,0,"dataset_0",1,0,3,512,12,2,"PASSIVE",0,17.73,"IDLE",0,0
9,120.198,20,47.2313,29.2313,53.2252,45.2252,1,"CORRECTING",16.2313,4.23127,4,2,1,6,8,10,"ACTIVE","coarse",2.40809,1.09744,0.574024,1,15,"STANDBY",16483792,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.7,"IDLE",0,0
